0:0:0:0:0:0:0:1 - - [30/May/2022:17:56:48 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [30/May/2022:17:57:27 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [30/May/2022:17:59:04 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [30/May/2022:18:10:32 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [30/May/2022:18:10:46 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [30/May/2022:18:11:15 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [30/May/2022:18:12:04 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [30/May/2022:18:12:24 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [30/May/2022:18:12:44 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [30/May/2022:18:15:58 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [30/May/2022:18:18:23 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [30/May/2022:18:20:59 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [30/May/2022:18:21:52 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:18:23:46 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [30/May/2022:18:25:17 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1407
0:0:0:0:0:0:0:1 - - [30/May/2022:18:25:41 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [30/May/2022:18:25:57 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [30/May/2022:18:26:31 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [30/May/2022:18:27:48 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:18:28:50 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 1465
